date,delinquency_consumer,chargeoff_consumer,delinquency_business,total_bank_credit,federal_funds_rate,treasury_10y,treasury_2y,financial_stress_index,unemployment_rate,yield_spread
1962-05-31,,,,,,3.9,,,,
1962-06-01,,,,,2.68,3.89,,,5.5,
1962-06-04,,,,,,3.88,,,,
1962-06-05,,,,,,3.89,,,,
1962-06-06,,,,,,3.89,,,,
1962-06-07,,,,,,3.87,,,,
1962-06-08,,,,,,3.86,,,,
1962-06-11,,,,,,3.87,,,,
1962-06-12,,,,,,3.86,,,,
1962-06-13,,,,,,3.87,,,,
1962-06-14,,,,,,3.9,,,,
1962-06-15,,,,,,3.89,,,,
1962-06-18,,,,,,3.91,,,,
1962-06-19,,,,,,3.93,,,,
1962-06-20,,,,,,3.92,,,,
1962-06-21,,,,,,3.9,,,,
1962-06-22,,,,,,3.9,,,,
1962-06-25,,,,,,3.95,,,,
1962-06-26,,,,,,3.97,,,,
1962-06-27,,,,,,3.96,,,,
1962-06-28,,,,,,3.98,,,,
1962-06-29,,,,,,4.0,,,,
1962-07-01,,,,,2.71,,,,5.4,
1962-07-02,,,,,,4.0,,,,
1962-07-03,,,,,,4.0,,,,
1962-07-04,,,,,,,,,,
1962-07-05,,,,,,4.0,,,,
1962-07-06,,,,,,4.02,,,,
1962-07-09,,,,,,4.05,,,,
1962-07-10,,,,,,4.02,,,,
1962-07-11,,,,,,3.99,,,,
1962-07-12,,,,,,4.0,,,,
1962-07-13,,,,,,4.0,,,,
1962-07-16,,,,,,4.01,,,,
1962-07-17,,,,,,4.03,,,,
1962-07-18,,,,,,4.02,,,,
1962-07-19,,,,,,4.02,,,,
1962-07-20,,,,,,4.01,,,,
1962-07-23,,,,,,4.0,,,,
1962-07-24,,,,,,4.01,,,,
1962-07-25,,,,,,4.02,,,,
1962-07-26,,,,,,4.01,,,,
1962-07-27,,,,,,4.02,,,,
1962-07-30,,,,,,4.03,,,,
1962-07-31,,,,,,4.04,,,,
1962-08-01,,,,,2.93,4.03,,,5.7,
1962-08-02,,,,,,4.0,,,,
1962-08-03,,,,,,4.01,,,,
1962-08-06,,,,,,4.01,,,,
1962-08-07,,,,,,4.02,,,,
1962-08-08,,,,,,4.01,,,,
1962-08-09,,,,,,3.99,,,,
1962-08-10,,,,,,3.99,,,,
1962-08-13,,,,,,3.99,,,,
1962-08-14,,,,,,3.98,,,,
1962-08-15,,,,,,3.98,,,,
1962-08-16,,,,,,3.96,,,,
1962-08-17,,,,,,3.96,,,,
1962-08-20,,,,,,3.94,,,,
1962-08-21,,,,,,3.94,,,,
1962-08-22,,,,,,3.95,,,,
1962-08-23,,,,,,3.95,,,,
1962-08-24,,,,,,3.95,,,,
1962-08-27,,,,,,3.95,,,,
1962-08-28,,,,,,3.96,,,,
1962-08-29,,,,,,3.96,,,,
1962-08-30,,,,,,3.95,,,,
1962-08-31,,,,,,3.96,,,,
1962-09-01,,,,,2.9,,,,5.6,
1962-09-03,,,,,,,,,,
1962-09-04,,,,,,3.96,,,,
1962-09-05,,,,,,3.97,,,,
1962-09-06,,,,,,3.99,,,,
1962-09-07,,,,,,4.01,,,,
1962-09-10,,,,,,4.0,,,,
1962-09-11,,,,,,4.0,,,,
1962-09-12,,,,,,4.0,,,,
1962-09-13,,,,,,3.99,,,,
1962-09-14,,,,,,3.99,,,,
1962-09-17,,,,,,3.99,,,,
1962-09-18,,,,,,3.98,,,,
1962-09-19,,,,,,3.99,,,,
1962-09-20,,,,,,3.98,,,,
1962-09-21,,,,,,3.98,,,,
1962-09-24,,,,,,3.97,,,,
1962-09-25,,,,,,3.96,,,,
1962-09-26,,,,,,3.95,,,,
1962-09-27,,,,,,3.95,,,,
1962-09-28,,,,,,3.94,,,,
1962-10-01,,,,,2.9,3.93,,,5.4,
1962-10-02,,,,,,3.92,,,,
1962-10-03,,,,,,3.9,,,,
1962-10-04,,,,,,3.9,,,,
1962-10-05,,,,,,3.92,,,,
1962-10-08,,,,,,3.93,,,,
1962-10-09,,,,,,3.95,,,,
1962-10-10,,,,,,3.93,,,,
1962-10-11,,,,,,3.94,,,,
1962-10-12,,,,,,,,,,
1962-10-15,,,,,,3.94,,,,
1962-10-16,,,,,,3.94,,,,
1962-10-17,,,,,,3.94,,,,
1962-10-18,,,,,,3.92,,,,
1962-10-19,,,,,,3.88,,,,
1962-10-22,,,,,,3.91,,,,
1962-10-23,,,,,,3.94,,,,
1962-10-24,,,,,,3.94,,,,
1962-10-25,,,,,,3.94,,,,
1962-10-26,,,,,,3.93,,,,
1962-10-29,,,,,,3.92,,,,
1962-10-30,,,,,,3.92,,,,
1962-10-31,,,,,,3.92,,,,
1962-11-01,,,,,2.94,3.92,,,5.7,
1962-11-02,,,,,,3.91,,,,
1962-11-05,,,,,,3.91,,,,
1962-11-06,,,,,,,,,,
1962-11-07,,,,,,3.91,,,,
1962-11-08,,,,,,3.9,,,,
1962-11-09,,,,,,3.89,,,,
1962-11-12,,,,,,,,,,
1962-11-13,,,,,,3.9,,,,
1962-11-14,,,,,,3.91,,,,
1962-11-15,,,,,,3.91,,,,
1962-11-16,,,,,,3.93,,,,
1962-11-19,,,,,,3.93,,,,
1962-11-20,,,,,,3.93,,,,
1962-11-21,,,,,,3.92,,,,
1962-11-22,,,,,,,,,,
1962-11-23,,,,,,3.92,,,,
1962-11-26,,,,,,3.93,,,,
1962-11-27,,,,,,3.92,,,,
1962-11-28,,,,,,3.92,,,,
1962-11-29,,,,,,3.92,,,,
1962-11-30,,,,,,3.92,,,,
1962-12-01,,,,,2.93,,,,5.5,
1962-12-03,,,,,,3.93,,,,
1962-12-04,,,,,,3.94,,,,
1962-12-05,,,,,,3.93,,,,
1962-12-06,,,,,,3.92,,,,
1962-12-07,,,,,,3.91,,,,
1962-12-10,,,,,,3.9,,,,
1962-12-11,,,,,,3.89,,,,
1962-12-12,,,,,,3.88,,,,
1962-12-13,,,,,,3.88,,,,
1962-12-14,,,,,,3.87,,,,
1962-12-17,,,,,,3.85,,,,
1962-12-18,,,,,,3.83,,,,
1962-12-19,,,,,,3.84,,,,
1962-12-20,,,,,,3.83,,,,
1962-12-21,,,,,,3.81,,,,
1962-12-24,,,,,,3.79,,,,
1962-12-25,,,,,,,,,,
1962-12-26,,,,,,3.79,,,,
1962-12-27,,,,,,3.81,,,,
1962-12-28,,,,,,3.84,,,,
1962-12-31,,,,,,3.85,,,,
1963-01-01,,,,,2.92,,,,5.7,
1963-01-02,,,,,,3.82,,,,
1963-01-03,,,,,,3.81,,,,
1963-01-04,,,,,,3.84,,,,
1963-01-07,,,,,,3.83,,,,
1963-01-08,,,,,,3.81,,,,
1963-01-09,,,,,,3.82,,,,
1963-01-10,,,,,,3.81,,,,
1963-01-11,,,,,,3.8,,,,
1963-01-14,,,,,,3.81,,,,
1963-01-15,,,,,,3.8,,,,
1963-01-16,,,,,,3.8,,,,
1963-01-17,,,,,,3.82,,,,
1963-01-18,,,,,,3.84,,,,
1963-01-21,,,,,,3.85,,,,
1963-01-22,,,,,,3.86,,,,
1963-01-23,,,,,,3.86,,,,
1963-01-24,,,,,,3.86,,,,
1963-01-25,,,,,,3.85,,,,
1963-01-28,,,,,,3.86,,,,
1963-01-29,,,,,,3.86,,,,
1963-01-30,,,,,,3.86,,,,
1963-01-31,,,,,,3.87,,,,
1963-02-01,,,,,3.0,3.88,,,5.9,
1963-02-04,,,,,,3.89,,,,
1963-02-05,,,,,,3.9,,,,
1963-02-06,,,,,,3.91,,,,
1963-02-07,,,,,,3.91,,,,
1963-02-08,,,,,,3.91,,,,
1963-02-11,,,,,,3.92,,,,
1963-02-12,,,,,,,,,,
1963-02-13,,,,,,3.92,,,,
1963-02-14,,,,,,3.91,,,,
1963-02-15,,,,,,3.91,,,,
1963-02-18,,,,,,3.91,,,,
1963-02-19,,,,,,3.93,,,,
1963-02-20,,,,,,3.94,,,,
1963-02-21,,,,,,3.95,,,,
1963-02-22,,,,,,,,,,
1963-02-25,,,,,,3.95,,,,
1963-02-26,,,,,,3.95,,,,
1963-02-27,,,,,,3.95,,,,
1963-02-28,,,,,,3.94,,,,
1963-03-01,,,,,2.98,3.93,,,5.7,
1963-03-04,,,,,,3.92,,,,
1963-03-05,,,,,,3.92,,,,
1963-03-06,,,,,,3.91,,,,
1963-03-07,,,,,,3.92,,,,
1963-03-08,,,,,,3.92,,,,
1963-03-11,,,,,,3.92,,,,
1963-03-12,,,,,,3.92,,,,
1963-03-13,,,,,,3.92,,,,
1963-03-14,,,,,,3.92,,,,
1963-03-15,,,,,,3.92,,,,
1963-03-18,,,,,,3.92,,,,
1963-03-19,,,,,,3.92,,,,
1963-03-20,,,,,,3.92,,,,
1963-03-21,,,,,,3.92,,,,
1963-03-22,,,,,,3.93,,,,
1963-03-25,,,,,,3.94,,,,
1963-03-26,,,,,,3.96,,,,
1963-03-27,,,,,,3.96,,,,
1963-03-28,,,,,,3.96,,,,
1963-03-29,,,,,,3.95,,,,
1963-04-01,,,,,2.9,3.95,,,5.7,
1963-04-02,,,,,,3.96,,,,
1963-04-03,,,,,,3.96,,,,
1963-04-04,,,,,,3.95,,,,
1963-04-05,,,,,,3.95,,,,
1963-04-08,,,,,,3.97,,,,
1963-04-09,,,,,,3.98,,,,
1963-04-10,,,,,,4.0,,,,
1963-04-11,,,,,,4.0,,,,
1963-04-12,,,,,,,,,,
1963-04-15,,,,,,4.01,,,,
1963-04-16,,,,,,4.0,,,,
1963-04-17,,,,,,4.0,,,,
1963-04-18,,,,,,3.99,,,,
1963-04-19,,,,,,3.97,,,,
1963-04-22,,,,,,3.97,,,,
1963-04-23,,,,,,3.97,,,,
1963-04-24,,,,,,3.96,,,,
1963-04-25,,,,,,3.95,,,,
1963-04-26,,,,,,3.95,,,,
1963-04-29,,,,,,3.95,,,,
1963-04-30,,,,,,3.95,,,,
1963-05-01,,,,,3.0,3.94,,,5.9,
1963-05-02,,,,,,3.94,,,,
1963-05-03,,,,,,3.93,,,,
1963-05-06,,,,,,3.92,,,,
1963-05-07,,,,,,3.91,,,,
1963-05-08,,,,,,3.92,,,,
1963-05-09,,,,,,3.93,,,,
1963-05-10,,,,,,3.93,,,,
1963-05-13,,,,,,3.92,,,,
1963-05-14,,,,,,3.91,,,,
1963-05-15,,,,,,3.91,,,,
1963-05-16,,,,,,3.9,,,,
1963-05-17,,,,,,3.92,,,,
1963-05-20,,,,,,3.93,,,,
1963-05-21,,,,,,3.92,,,,
1963-05-22,,,,,,3.92,,,,
1963-05-23,,,,,,3.93,,,,
1963-05-24,,,,,,3.95,,,,
1963-05-27,,,,,,3.95,,,,
1963-05-28,,,,,,3.96,,,,
1963-05-29,,,,,,3.96,,,,
1963-05-30,,,,,,,,,,
1963-05-31,,,,,,3.96,,,,
1963-06-01,,,,,2.99,,,,5.6,
1963-06-03,,,,,,3.98,,,,
1963-06-04,,,,,,3.98,,,,
1963-06-05,,,,,,3.98,,,,
1963-06-06,,,,,,3.99,,,,
1963-06-07,,,,,,3.99,,,,
1963-06-10,,,,,,3.99,,,,
1963-06-11,,,,,,3.98,,,,
1963-06-12,,,,,,3.99,,,,
1963-06-13,,,,,,3.99,,,,
1963-06-14,,,,,,3.99,,,,
1963-06-17,,,,,,4.0,,,,
1963-06-18,,,,,,4.0,,,,
1963-06-19,,,,,,4.0,,,,
1963-06-20,,,,,,4.0,,,,
1963-06-21,,,,,,4.0,,,,
1963-06-24,,,,,,4.0,,,,
1963-06-25,,,,,,4.0,,,,
1963-06-26,,,,,,4.0,,,,
1963-06-27,,,,,,4.0,,,,
1963-06-28,,,,,,4.0,,,,
1963-07-01,,,,,3.02,4.01,,,5.6,
1963-07-02,,,,,,4.03,,,,
1963-07-03,,,,,,4.03,,,,
1963-07-04,,,,,,,,,,
1963-07-05,,,,,,4.04,,,,
1963-07-08,,,,,,4.05,,,,
1963-07-09,,,,,,4.04,,,,
1963-07-10,,,,,,4.03,,,,
1963-07-11,,,,,,4.04,,,,
1963-07-12,,,,,,4.03,,,,
1963-07-15,,,,,,4.02,,,,
1963-07-16,,,,,,4.02,,,,
1963-07-17,,,,,,4.03,,,,
1963-07-18,,,,,,4.02,,,,
1963-07-19,,,,,,4.02,,,,
1963-07-22,,,,,,4.02,,,,
1963-07-23,,,,,,4.02,,,,
1963-07-24,,,,,,4.01,,,,
1963-07-25,,,,,,4.01,,,,
1963-07-26,,,,,,3.99,,,,
1963-07-29,,,,,,3.99,,,,
1963-07-30,,,,,,4.0,,,,
1963-07-31,,,,,,4.0,,,,
1963-08-01,,,,,3.49,3.99,,,5.4,
1963-08-02,,,,,,3.99,,,,
1963-08-05,,,,,,3.99,,,,
1963-08-06,,,,,,4.0,,,,
1963-08-07,,,,,,4.01,,,,
1963-08-08,,,,,,4.0,,,,
1963-08-09,,,,,,4.0,,,,
1963-08-12,,,,,,4.01,,,,
1963-08-13,,,,,,4.02,,,,
1963-08-14,,,,,,4.02,,,,
1963-08-15,,,,,,4.01,,,,
1963-08-16,,,,,,4.0,,,,
1963-08-19,,,,,,3.99,,,,
1963-08-20,,,,,,3.99,,,,
1963-08-21,,,,,,4.0,,,,
1963-08-22,,,,,,4.0,,,,
1963-08-23,,,,,,4.0,,,,
1963-08-26,,,,,,4.0,,,,
1963-08-27,,,,,,4.0,,,,
1963-08-28,,,,,,4.0,,,,
1963-08-29,,,,,,4.01,,,,
1963-08-30,,,,,,4.02,,,,
1963-09-01,,,,,3.48,,,,5.5,
1963-09-02,,,,,,,,,,
1963-09-03,,,,,,4.03,,,,
1963-09-04,,,,,,4.04,,,,
1963-09-05,,,,,,4.08,,,,
1963-09-06,,,,,,4.09,,,,
1963-09-09,,,,,,4.09,,,,
1963-09-10,,,,,,4.09,,,,
1963-09-11,,,,,,4.09,,,,
1963-09-12,,,,,,4.09,,,,
1963-09-13,,,,,,4.09,,,,
1963-09-16,,,,,,4.09,,,,
1963-09-17,,,,,,4.09,,,,
1963-09-18,,,,,,4.08,,,,
1963-09-19,,,,,,4.08,,,,
1963-09-20,,,,,,4.07,,,,
1963-09-23,,,,,,4.07,,,,
1963-09-24,,,,,,4.08,,,,
1963-09-25,,,,,,4.08,,,,
1963-09-26,,,,,,4.08,,,,
1963-09-27,,,,,,4.07,,,,
1963-09-30,,,,,,4.07,,,,
1963-10-01,,,,,3.5,4.07,,,5.5,
1963-10-02,,,,,,4.07,,,,
1963-10-03,,,,,,4.07,,,,
1963-10-04,,,,,,4.08,,,,
1963-10-07,,,,,,4.08,,,,
1963-10-08,,,,,,4.09,,,,
1963-10-09,,,,,,4.1,,,,
1963-10-10,,,,,,4.1,,,,
1963-10-11,,,,,,4.1,,,,
1963-10-14,,,,,,4.1,,,,
1963-10-15,,,,,,4.11,,,,
1963-10-16,,,,,,4.11,,,,
1963-10-17,,,,,,4.12,,,,
1963-10-18,,,,,,4.12,,,,
1963-10-21,,,,,,4.12,,,,
1963-10-22,,,,,,4.11,,,,
1963-10-23,,,,,,4.12,,,,
1963-10-24,,,,,,4.11,,,,
1963-10-25,,,,,,4.12,,,,
1963-10-28,,,,,,4.12,,,,
1963-10-29,,,,,,4.13,,,,
1963-10-30,,,,,,4.14,,,,
1963-10-31,,,,,,4.15,,,,
1963-11-01,,,,,3.48,4.15,,,5.7,
1963-11-04,,,,,,4.15,,,,
1963-11-05,,,,,,,,,,
1963-11-06,,,,,,4.17,,,,
1963-11-07,,,,,,4.17,,,,
1963-11-08,,,,,,4.16,,,,
1963-11-11,,,,,,,,,,
1963-11-12,,,,,,4.16,,,,
1963-11-13,,,,,,4.15,,,,
1963-11-14,,,,,,4.12,,,,
1963-11-15,,,,,,4.11,,,,
1963-11-18,,,,,,4.11,,,,
1963-11-19,,,,,,4.1,,,,
1963-11-20,,,,,,4.09,,,,
1963-11-21,,,,,,4.1,,,,
1963-11-22,,,,,,4.09,,,,
1963-11-25,,,,,,,,,,
1963-11-26,,,,,,4.08,,,,
1963-11-27,,,,,,4.08,,,,
1963-11-28,,,,,,,,,,
1963-11-29,,,,,,4.08,,,,
1963-12-01,,,,,3.38,,,,5.5,
